full_name,pos,stub,year,game_date,game_num,week_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,fumbles,fumbles_lost,fumbles_forced,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,top_n,reason,sacks,tackles_solo,tackles_assists,tackles_combined,tackles_loss,qb_hits,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td,pass_defended,offense,off_pct,defense,def_pct,special_teams,st_pct,punt,punt_yds,punt_yds_per_punt,punt_blocked,xpm,xpa,xp_perc,fgm,fga,fg_perc,safety_md,unique_id
Jacquez Green,WR,/players/G/GreeJa00.htm,,66 Games,,,,,,,38-28-0,,13,42,3.23,0,319,162,2311,14.27,7,50.8%,7.24,,,,,,,,,,,,24,483,20.13,0,,9,54,7,3,0,0,0,0,False,,,,,,,,72,832,11.56,2,,,,,,,,,,,,,,,,,,,,,,"Jacquez Green,,WR,"
James Thrash,WR,/players/T/ThraJa00.htm,,165 Games,,,,,,,92-73-0,,41,362,8.83,2,524,290,3646,12.57,22,55.3%,6.96,,,,,,,,,,,,124,2819,22.73,1,,25,150,5,3,1,0,0,0,False,,0.0,63,14,77,0,0,42,418,9.95,0,,,,,,,,,,,,,,,,,,,,,,"James Thrash,,WR,"
Darnell Autry,RB,/players/A/AutrDa00.htm,,24 Games,,,,,,,12-12-0,,224,653,2.92,4,51,33,334,10.12,1,64.7%,6.55,,,,,,,,,,,,,,,,1,5,32,5,2,0,0,0,0,False,,0.0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Darnell Autry,,RB,"
Jerome Pathon,WR,/players/P/PathJe00.htm,,100 Games,,,,,,,50-50-0,,5,-7,-1.40,0,489,260,3350,12.88,15,53.2%,6.85,,,,,,,,,,,,36,773,21.47,0,,15,90,2,2,0,0,0,0,False,,0.0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jerome Pathon,,WR,"
Mike Alstott ,RB,/players/A/AlstMi00.htm,,158 Games,,,,,,,84-74-0,,1359,5088,3.74,58,424,305,2284,7.49,13,71.9%,5.39,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,5,43,8.60,0,3,71,432,33,25,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mike Alstott ,,RB,"
Jeremy McDaniel,WR,/players/M/McDaJe00.htm,,24 Games,,,,,,,9-15-0,,,,,,83,54,826,15.30,2,65.1%,9.95,,,,,,,,,,,,,,,,,2,12,,,,,,,False,,0.0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jeremy McDaniel,,WR,"
Sylvester Morris ,WR,/players/M/MorrSy00.htm,,15 Games,,,,,,,6-9-0,,,,,,105,48,678,14.13,3,45.7%,6.46,1,1,100.00,31,0,0,118.7,0,0,31.00,31.00,,,,,,3,18,3,3,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sylvester Morris ,,WR,"
Ryan Leaf,QB,/players/L/LeafRy00.htm,,25 Games,,,,,,,4-21-0,,59,127,2.15,0,,,,,,,,317,655,48.40,3666,14,36,50.0,65,377,5.60,3.55,,,,,,,,16,7,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ryan Leaf,,QB,"
Randy Jordan,RB,/players/J/JordRa00.htm,,121 Games,,,,,,,72-49-0,,152,574,3.78,7,87,58,596,10.28,2,66.7%,6.85,,,,,,,,,,,,38,801,21.08,0,,9,54,3,1,0,0,0,0,False,,0.0,35,4,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Randy Jordan,,RB,"
Torrance Small,WR,/players/S/SmalTo00.htm,,133 Games,,,,,,,59-74-0,,12,129,10.75,2,655,346,4602,13.30,31,52.8%,7.03,0,4,0.00,0,0,1,0.0,1,4,0.00,-11.25,,,,,2,33,202,1,1,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Torrance Small,,WR,"
Fred Beasley,RB,/players/B/BeasFr00.htm,,114 Games,,,,,,,51-63-0,,183,610,3.33,8,219,133,1017,7.65,5,60.7%,4.64,,,,,,,,,,,,,,,,,13,78,3,3,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fred Beasley,,RB,"
Tim Couch,QB,/players/C/CoucTi00.htm,,62 Games,,,,,,,22-40-0,,124,556,4.48,2,2,2,-13,-6.50,0,100.0%,-6.50,1025,1714,59.80,11131,64,67,75.1,166,1119,6.49,5.48,,,,,1,2,14,23,11,0,0,0,0,False,,0.0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tim Couch,,QB,"
Eddie Kennison,WR,/players/K/KennEd00.htm,,179 Games,,,,,,,77-102-0,,39,282,7.23,0,1037,548,8345,15.23,42,52.8%,8.05,,,,,,,,,,,,25,504,20.16,0,3,45,276,18,8,0,3,0,0,False,,,,,,,,153,1528,9.99,3,,,,,,,,,,,,,,,,,,,,,,"Eddie Kennison,,WR,"
